n_samples,total,per_proc,max_proc,time
32,1100,39.285714285714,45,2.5522470474243164
64,1261,45.03571428571399,50,2.8411691188812256
128,1582,56.5,59,3.3795359134674072
256,2170,77.5,82,4.896476984024048
512,3292,117.57142857142999,123,7.573923826217651
1024,5498,196.35714285714002,200,13.4760160446167
2048,9715,346.96428571429,351,24.51605200767517
4096,18001,642.89285714286,647,47.88572597503662
8192,34525,1233.0357142857001,1238,90.46057796478271
16384,67506,2410.9285714285998,2416,179.2457730770111
32768,133496,4767.7142857143,4773,355.4468548297882
65536,197097,7039.1785714286,7053,742.520280122757
