time,reward/average_reward,maximum
10,-41.249140270335,10.0
20,-40.485665807715,10.0
30,-40.416977926811,10.0
40,-39.707227652161,10.0
50,-39.417539802058,10.0
60,-37.770955030849,10.0
70,-37.352433574709,10.0
80,-36.430935628357,10.0
90,-35.665173809764,10.0
100,-34.845135994763,10.0
110,-33.752753757644,10.0
120,-31.737329260827,10.0
130,-31.013658751662,10.0
140,-30.02916233418,10.0
150,-29.239008949513,10.0
160,-27.16579655924,10.0
170,-26.590077292424,10.0
180,-25.463035273089,10.0
190,-23.732481147842,10.0
200,-22.579891519717,10.0
210,-21.351693573681,10.0
220,-20.312393259654,10.0
230,-18.797424696062,10.0
240,-17.642155681867,10.0
250,-16.048998494139,10.0
260,-13.720552002164,10.0
270,-12.013838931106,10.0
280,-10.194529226459,10.0
290,-7.9489110648168,10.0
300,-5.1065503543132,10.0
310,-3.9690714225165,10.0
320,-1.4348794629941,10.0
330,-0.3848877061418,10.0
340,1.9380010677149,10.0
350,0.21848166468175,10.0
360,1.9678910393853,10.0
370,2.5779917026598,10.0
380,7.9780022993544,10.0
390,8.7491695236876,10.0
400,9.0251881878275,10.0
410,9.3034884818753,10.0
420,9.3932776543779,10.0
430,9.3249942342728,10.0
440,9.3331884844885,10.0
