time,subs
0,0
0.01,3.694233591257e-06
0.02,-0.0033468233680266
0.03,-0.0095530536248454
0.04,-0.018766584569742
0.05,-0.029646531264978
0.06,-0.04476731067185
0.07,-0.058409468187702
0.08,-0.079387726443609
0.09,-0.094630813395483
0.1,-0.11337559280605
0.11,-0.13019839042755
0.12,-0.13105989235127
0.13,-0.15152749495203
0.14,-0.13650461164495
0.15,-0.14340707427953
0.16,-0.13945228433212
0.17,-0.14374319040694
0.18,-0.14193842182779
0.19,-0.14579070246199
0.2,-0.146582341356
0.21,-0.14821576132462
0.22,-0.14823754521096
0.23,-0.14934422933796
0.24,-0.14931288572551
0.25,-0.15030628716112
0.26,-0.15004760442772
0.27,-0.15053120224806
0.28,-0.15000748756158
0.29,-0.15029098382952
0.3,-0.14960143676214
0.31,-0.14977791176355
0.32,-0.148828320001
0.33,-0.14889831566302
0.34,-0.14830554541431
0.35,-0.1482495064177
0.36,-0.14740885033849
0.37,-0.14725253383578
0.38,-0.14654079629253
0.39,-0.14628669347093
0.4,-0.1455837771428
0.41,-0.14518390179523
0.42,-0.14434139992097
0.43,-0.14388212090049
0.44,-0.14323370612446
0.45,-0.14279676341679
0.46,-0.14220978936699
0.47,-0.1417554920813
0.48,-0.14119462361969
0.49,-0.14063556562939
0.5,-0.13982253606935
0.51,-0.13909289530918
0.52,-0.13868449420225
0.53,-0.13822513131205
0.54,-0.13778455138153
0.55,-0.13724361109395
0.56,-0.1366221574897
0.57,-0.13596865564893
0.58,-0.13562130752515
0.59,-0.13515325886345
0.6,-0.13469661608664
0.61,-0.13408739012671
0.62,-0.13371751125159
0.63,-0.13313177920772
0.64,-0.13271878935504
0.65,-0.13208073258861
0.66,-0.13175902698611
0.67,-0.13122211282778
0.68,-0.13093473700351
0.69,-0.13039868098636
0.7,-0.13007787889172
0.71,-0.12949499670122
0.72,-0.12924053807589
0.73,-0.12876489095684
0.74,-0.12853457818674
0.75,-0.12807927769907
0.76,-0.12782172576411
0.77,-0.12734492385093
0.78,-0.12713972523384
0.79,-0.12675279694286
0.8,-0.12656827418652
0.81,-0.1262064848869
0.82,-0.12600333491668
0.83,-0.12561381034683
0.84,-0.12545545061368
0.85,-0.12512896300147
0.86,-0.12498759270199
0.87,-0.12466592711875
0.88,-0.12451171927081
0.89,-0.12416529272856
0.9,-0.12404701962786
0.91,-0.12375653416376
0.92,-0.12365203688954
0.93,-0.12337636590343
0.94,-0.12326221237637
0.95,-0.12296333972299
0.96,-0.12287769859799
0.97,-0.12263007887585
0.98,-0.12255342427757
0.99,-0.12231374430136
1,-0.12224244048352
