step,element,qp,increment
1,1,1,0.0154138
1,1,2,0.0163514
1,1,3,0.0145409
1,1,4,0.0155426
1,2,1,0.0176049
1,2,2,0.0176073
1,2,3,0.0183541
1,2,4,0.0183564
1,3,1,0.0145409
1,3,2,0.0155426
1,3,3,0.0154138
1,3,4,0.0163514
1,4,1,0.0183541
1,4,2,0.0183564
1,4,3,0.0176049
1,4,4,0.0176073
2,1,1,0.0152117
2,1,2,0.0161492
2,1,3,0.0143828
2,1,4,0.0153804
2,2,1,0.0174838
2,2,2,0.01748
2,2,3,0.0181918
2,2,4,0.0181881
2,3,1,0.0143828
2,3,2,0.0153804
2,3,3,0.0152117
2,3,4,0.0161492
2,4,1,0.0181918
2,4,2,0.0181881
2,4,3,0.0174838
2,4,4,0.01748
3,1,1,0.0150143
3,1,2,0.0159514
3,1,3,0.0142272
3,1,4,0.0152206
3,2,1,0.0173642
3,2,2,0.0173544
3,2,3,0.018033
3,2,4,0.0180237
3,3,1,0.0142272
3,3,2,0.0152206
3,3,3,0.0150143
3,3,4,0.0159514
3,4,1,0.018033
3,4,2,0.0180237
3,4,3,0.0173642
3,4,4,0.0173544
4,1,1,0.0148216
4,1,2,0.015758
4,1,3,0.014074
4,1,4,0.0150633
4,2,1,0.0172459
4,2,2,0.0172307
4,2,3,0.0178777
4,2,4,0.0178631
4,3,1,0.014074
4,3,2,0.0150633
4,3,3,0.0148216
4,3,4,0.015758
4,4,1,0.0178777
4,4,2,0.0178631
4,4,3,0.0172459
4,4,4,0.0172307
5,1,1,0.0146332
5,1,2,0.0155687
5,1,3,0.0139234
5,1,4,0.0149084
5,2,1,0.017129
5,2,2,0.0171086
5,2,3,0.0177256
5,2,4,0.017706
5,3,1,0.0139234
5,3,2,0.0149084
5,3,3,0.0146332
5,3,4,0.0155687
5,4,1,0.0177256
5,4,2,0.017706
5,4,3,0.017129
5,4,4,0.0171086
6,1,1,0.0144491
6,1,2,0.0153834
6,1,3,0.0137751
6,1,4,0.0147559
6,2,1,0.0170136
6,2,2,0.0169883
6,2,3,0.0175768
6,2,4,0.0175524
6,3,1,0.0137751
6,3,2,0.0147559
6,3,3,0.0144491
6,3,4,0.0153834
6,4,1,0.0175768
6,4,2,0.0175524
6,4,3,0.0170136
6,4,4,0.0169883
7,1,1,0.0142692
7,1,2,0.015202
7,1,3,0.0136291
7,1,4,0.0146058
7,2,1,0.0168995
7,2,2,0.0168696
7,2,3,0.017431
7,2,4,0.0174022
7,3,1,0.0136291
7,3,2,0.0146058
7,3,3,0.0142692
7,3,4,0.015202
7,4,1,0.017431
7,4,2,0.0174022
7,4,3,0.0168995
7,4,4,0.0168696
8,1,1,0.0140931
8,1,2,0.0150244
8,1,3,0.0134854
8,1,4,0.0144579
8,2,1,0.0167867
8,2,2,0.0167526
8,2,3,0.0172882
8,2,4,0.0172553
8,3,1,0.0134854
8,3,2,0.0144579
8,3,3,0.0140931
8,3,4,0.0150244
8,4,1,0.0172882
8,4,2,0.0172553
8,4,3,0.0167867
8,4,4,0.0167526
9,1,1,0.013921
9,1,2,0.0148504
9,1,3,0.013344
9,1,4,0.0143123
9,2,1,0.0166754
9,2,2,0.0166372
9,2,3,0.0171484
9,2,4,0.0171115
9,3,1,0.013344
9,3,2,0.0143123
9,3,3,0.013921
9,3,4,0.0148504
9,4,1,0.0171484
9,4,2,0.0171115
9,4,3,0.0166754
9,4,4,0.0166372
10,1,1,0.0137525
10,1,2,0.0146799
10,1,3,0.0132047
10,1,4,0.0141688
10,2,1,0.0165653
10,2,2,0.0165234
10,2,3,0.0170112
10,2,4,0.0169707
10,3,1,0.0132047
10,3,2,0.0141688
10,3,3,0.0137525
10,3,4,0.0146799
10,4,1,0.0170112
10,4,2,0.0169707
10,4,3,0.0165653
10,4,4,0.0165234
